Run,Event,dimuon_mass_GeV,dimuon_pt_GeV,leading_muon_pt_GeV,subleading_muon_pt_GeV,Q1,Q2,Type1,Type2,opposite_sign,both_global
146511,272556224,2.95277,4.432841278504116,3.38934,1.74999,1,-1,G,T,True,False
146511,273753720,3.09639,10.050053342491323,6.76484,3.73208,1,-1,G,G,True,True
146511,273912947,3.27635,11.587628002548925,9.58358,2.03521,-1,1,G,G,True,True
146511,273970013,3.10401,2.5694390103125624,2.97711,1.03847,-1,1,G,T,True,False
146511,274074630,2.81021,1.9977604595208607,2.24295,1.17636,-1,1,G,T,True,False
146511,274175971,2.77932,9.484971507384774,7.68827,1.91085,1,-1,G,T,True,False
146511,274522243,2.74087,4.27254983691238,4.09413,0.967439,1,-1,G,T,True,False
146511,274587932,2.65004,5.3418175880574585,4.84211,1.10554,-1,1,G,T,True,False
146511,274638507,2.66248,14.48816592948621,12.7979,1.74971,1,-1,G,T,True,False
146511,286972913,3.09452,11.065500425168308,5.93662,5.30475,1,-1,G,G,True,True
146511,286987915,3.06245,9.924397756402955,6.05934,4.3222,1,-1,G,G,True,True
146511,291246392,3.13591,23.095013444854278,19.4986,3.76678,-1,1,G,G,True,True
146511,291730171,3.59107,10.45449076160575,7.7561,2.71536,-1,1,G,G,True,True
146511,292028001,2.77663,17.339604812347947,11.9123,5.51502,-1,1,G,G,True,True
146511,292367342,3.08413,9.853908020164589,5.24956,4.86684,1,-1,G,G,True,True
146511,361077215,2.82466,4.395116921465571,3.61637,1.48929,-1,1,G,T,True,False
146511,361234065,3.09342,15.67165849342361,12.5278,3.43822,1,-1,G,T,True,False
146511,361496977,3.06914,1.9704875587567792,2.57998,1.03312,-1,1,G,T,True,False
146511,362203762,2.88723,7.88066341807744,4.78766,3.12976,1,-1,G,G,True,True
146511,362551240,3.06618,10.786435098224064,6.56236,4.22515,1,-1,G,G,True,True
146511,362583844,2.65605,14.536605781023988,11.7631,3.01168,-1,1,G,T,True,False
146511,363037180,3.12571,7.431782857706487,3.85105,3.58325,1,-1,G,G,True,True
146511,363365974,3.23908,6.539096975262028,4.98225,2.25617,1,-1,G,T,True,False
146511,363999548,2.73211,6.765895101843141,6.30891,0.884132,-1,1,G,T,True,False
146511,364748199,2.62185,4.433623636103768,4.18128,0.946239,1,-1,G,T,True,False
146511,365222742,3.28754,15.423715933447555,11.7812,3.84994,-1,1,G,G,True,True
146511,365774553,3.03907,6.567063271468001,3.6191,3.06122,1,-1,G,G,True,True
146511,365974894,2.94223,17.980007863297196,11.0287,7.17091,-1,1,G,G,True,True
146511,463655300,3.11116,8.714920739473193,6.14837,3.05775,1,-1,G,T,True,False
146511,463662423,3.18855,5.7495672447425985,5.53984,1.01327,-1,1,G,T,True,False
146511,463732317,2.90312,12.81714181721042,12.0363,1.09945,1,-1,G,T,True,False
146511,464818072,3.0692,6.683559022452036,4.19442,3.14568,1,-1,G,G,True,True
146511,465256751,2.73882,4.057969556736472,2.98254,1.88205,-1,1,G,T,True,False
146511,465562518,3.11658,11.451288419990128,7.65373,4.03648,-1,1,G,G,True,True
146511,465944561,2.84156,3.7620812581916674,3.41974,1.12128,1,-1,G,T,True,False
146511,466949679,3.0739,16.01428014816826,10.27,5.8321,1,-1,G,G,True,True
